"Value","time","itemNo.","Comments","is.hor","time_category","sid"
"ver","minute",5,"hor;ver",0,"short",4
"hor","year",27,"hor;ver",1,"long",4
"hor","day",14,"hor;ver",1,"short",4
"ver","week",20,"ver;hor",0,"long",4
"ver","minute",8,"hor;ver",0,"short",5
"ver","month",24,"hor;ver",0,"long",5
"ver","week",19,"hor;ver",0,"long",5
"ver","month",21,"ver;hor",0,"long",5
"ver","century",29,"hor;ver",0,"long",5
"hor","day",14,"ver;hor",1,"short",5
"ver","hour",11,"ver;hor",0,"short",5
"ver","week",18,"hor;ver",0,"long",5
"ver","hour",10,"hor;ver",0,"short",5
"ver","second",2,"ver;hor",0,"short",5
"ver","year",25,"hor;ver",0,"long",5
"ver","year",26,"ver;hor",0,"long",5
"hor","year",28,"ver;hor",1,"long",5
"ver","month",22,"ver;hor",0,"long",5
"ver","week",17,"ver;hor",0,"long",5
"hor","day",16,"hor;ver",1,"short",5
"hor","day",13,"ver;hor",1,"short",5
"ver","minute",5,"hor;ver",0,"short",5
"hor","day",15,"ver;hor",1,"short",5
"ver","minute",6,"ver;hor",0,"short",5
"ver","century",31,"hor;ver",0,"long",5
"ver","second",3,"ver;hor",0,"short",5
"hor","minute",7,"hor;ver",1,"short",5
"hor","hour",9,"hor;ver",1,"short",5
"ver","century",32,"hor;ver",0,"long",5
"hor","hour",12,"ver;hor",1,"short",5
"hor","second",1,"ver;hor",1,"short",5
"ver","century",30,"hor;ver",0,"long",5
"ver","year",27,"hor;ver",0,"long",5
"ver","second",4,"hor;ver",0,"short",5
"ver","week",20,"hor;ver",0,"long",5
"ver","month",23,"ver;hor",0,"long",5
"ver","month",21,"hor;ver",0,"long",6
"ver","minute",7,"ver;hor",0,"short",6
"ver","month",23,"hor;ver",0,"long",6
"hor","day",13,"hor;ver",1,"short",6
"hor","year",27,"hor;ver",1,"long",6
"ver","week",20,"hor;ver",0,"long",6
"ver","week",19,"hor;ver",0,"long",6
"hor","hour",9,"hor;ver",1,"short",6
"ver","year",26,"hor;ver",0,"long",6
"ver","second",1,"hor;ver",0,"short",6
"ver","week",18,"hor;ver",0,"long",6
"hor","minute",8,"ver;hor",1,"short",6
"ver","second",2,"hor;ver",0,"short",6
"ver","century",29,"hor;ver",0,"long",6
"hor","day",14,"ver;hor",1,"short",6
"hor","minute",5,"hor;ver",1,"short",6
"ver","year",28,"hor;ver",0,"long",6
"ver","month",22,"ver;hor",0,"long",6
"hor","second",4,"hor;ver",1,"short",6
"ver","week",17,"ver;hor",0,"long",6
"ver","century",31,"ver;hor",0,"long",6
"ver","century",30,"hor;ver",0,"long",6
"hor","hour",12,"ver;hor",1,"short",6
"hor","day",15,"ver;hor",1,"short",6
"ver","year",25,"hor;ver",0,"long",6
"ver","hour",10,"hor;ver",0,"short",6
"ver","second",3,"ver;hor",0,"short",6
"hor","day",16,"hor;ver",1,"short",6
"ver","month",24,"hor;ver",0,"long",6
"hor","hour",11,"hor;ver",1,"short",6
"ver","century",32,"ver;hor",0,"long",6
"ver","minute",6,"hor;ver",0,"short",6
"hor","hour",11,"ver;hor",1,"short",7
"ver","century",29,"hor;ver",0,"long",7
"ver","year",28,"ver;hor",0,"long",7
"ver","second",2,"ver;hor",0,"short",7
"ver","month",21,"hor;ver",0,"long",7
"ver","year",25,"ver;hor",0,"long",7
"ver","minute",5,"ver;hor",0,"short",7
"ver","day",14,"hor;ver",0,"short",7
"ver","minute",7,"ver;hor",0,"short",7
"ver","year",27,"hor;ver",0,"long",7
"ver","week",18,"ver;hor",0,"long",7
"ver","month",23,"hor;ver",0,"long",7
"ver","week",20,"hor;ver",0,"long",7
"ver","century",31,"hor;ver",0,"long",7
"hor","day",16,"ver;hor",1,"short",7
"ver","minute",6,"hor;ver",0,"short",7
"ver","week",19,"hor;ver",0,"long",7
"ver","second",1,"ver;hor",0,"short",7
"ver","hour",10,"hor;ver",0,"short",7
"ver","century",30,"hor;ver",0,"long",7
"ver","century",32,"ver;hor",0,"long",7
"ver","year",26,"hor;ver",0,"long",7
"hor","second",3,"hor;ver",1,"short",7
"ver","hour",12,"ver;hor",0,"short",7
"ver","day",13,"ver;hor",0,"short",7
"ver","hour",9,"ver;hor",0,"short",7
"ver","month",22,"ver;hor",0,"long",7
"ver","month",24,"ver;hor",0,"long",7
"hor","minute",8,"hor;ver",1,"short",7
"ver","week",17,"ver;hor",0,"long",7
"ver","day",15,"hor;ver",0,"short",7
"ver","second",4,"ver;hor",0,"short",7
"ver","century",29,"ver;hor",0,"long",8
"ver","week",20,"hor;ver",0,"long",8
"hor","second",3,"ver;hor",1,"short",8
"hor","day",16,"ver;hor",1,"short",8
"ver","year",26,"ver;hor",0,"long",8
"ver","month",22,"hor;ver",0,"long",8
"ver","century",32,"ver;hor",0,"long",8
"ver","century",30,"ver;hor",0,"long",8
"ver","century",31,"ver;hor",0,"long",8
"ver","second",2,"ver;hor",0,"short",8
"ver","hour",9,"hor;ver",0,"short",8
"ver","hour",12,"hor;ver",0,"short",8
"ver","second",1,"hor;ver",0,"short",8
"ver","second",4,"ver;hor",0,"short",8
"hor","day",15,"hor;ver",1,"short",8
"ver","minute",6,"hor;ver",0,"short",8
"ver","minute",7,"ver;hor",0,"short",8
"ver","year",28,"hor;ver",0,"long",8
"ver","minute",5,"hor;ver",0,"short",8
"ver","month",23,"hor;ver",0,"long",8
"ver","month",24,"hor;ver",0,"long",8
"hor","day",13,"ver;hor",1,"short",8
"ver","week",19,"hor;ver",0,"long",8
"ver","week",17,"ver;hor",0,"long",8
"hor","year",27,"ver;hor",1,"long",8
"ver","year",25,"hor;ver",0,"long",8
"ver","month",21,"hor;ver",0,"long",8
"ver","week",18,"ver;hor",0,"long",8
"hor","hour",11,"hor;ver",1,"short",8
"ver","day",14,"ver;hor",0,"short",8
"hor","minute",8,"hor;ver",1,"short",8
"ver","hour",10,"hor;ver",0,"short",8
"hor","hour",11,"ver;hor",1,"short",9
"hor","second",3,"ver;hor",1,"short",9
"hor","century",30,"ver;hor",1,"long",9
"ver","week",18,"ver;hor",0,"long",9
"ver","century",32,"hor;ver",0,"long",9
"hor","day",16,"hor;ver",1,"short",9
"hor","year",26,"ver;hor",1,"long",9
"hor","month",23,"hor;ver",1,"long",9
"hor","minute",8,"hor;ver",1,"short",9
"ver","second",4,"ver;hor",0,"short",9
"hor","hour",9,"hor;ver",1,"short",9
"ver","day",13,"ver;hor",0,"short",9
"ver","year",25,"ver;hor",0,"long",9
"ver","minute",6,"hor;ver",0,"short",9
"ver","week",20,"hor;ver",0,"long",9
"hor","year",27,"ver;hor",1,"long",9
"hor","day",15,"ver;hor",1,"short",9
"ver","month",21,"hor;ver",0,"long",9
"ver","second",2,"hor;ver",0,"short",9
"ver","week",19,"ver;hor",0,"long",9
"hor","hour",10,"hor;ver",1,"short",9
"ver","month",22,"hor;ver",0,"long",9
"ver","day",14,"ver;hor",0,"short",9
"hor","hour",12,"ver;hor",1,"short",9
"hor","year",28,"hor;ver",1,"long",9
"ver","century",29,"hor;ver",0,"long",9
"ver","week",17,"ver;hor",0,"long",9
"ver","century",31,"ver;hor",0,"long",9
"ver","month",24,"hor;ver",0,"long",9
"hor","minute",7,"hor;ver",1,"short",9
"ver","second",1,"ver;hor",0,"short",9
"ver","minute",5,"hor;ver",0,"short",9
"ver","century",31,"hor;ver",0,"long",10
"hor","minute",8,"ver;hor",1,"short",10
"hor","minute",7,"ver;hor",1,"short",10
"ver","second",2,"ver;hor",0,"short",10
"hor","day",15,"ver;hor",1,"short",10
"ver","week",20,"ver;hor",0,"long",10
"ver","month",23,"hor;ver",0,"long",10
"ver","month",24,"ver;hor",0,"long",10
"ver","second",4,"hor;ver",0,"short",10
"hor","hour",9,"hor;ver",1,"short",10
"ver","month",22,"ver;hor",0,"long",10
"ver","week",17,"ver;hor",0,"long",10
"ver","week",18,"ver;hor",0,"long",10
"hor","day",14,"ver;hor",1,"short",10
"hor","hour",11,"hor;ver",1,"short",10
"hor","day",13,"ver;hor",1,"short",10
"ver","hour",10,"hor;ver",0,"short",10
"ver","century",32,"hor;ver",0,"long",10
"ver","second",3,"hor;ver",0,"short",10
"hor","year",28,"ver;hor",1,"long",10
"ver","minute",6,"hor;ver",0,"short",10
"hor","year",27,"ver;hor",1,"long",10
"hor","day",16,"ver;hor",1,"short",10
"ver","week",19,"hor;ver",0,"long",10
"ver","year",25,"ver;hor",0,"long",10
"hor","hour",12,"ver;hor",1,"short",10
"ver","century",30,"ver;hor",0,"long",10
"hor","year",26,"hor;ver",1,"long",10
"ver","century",29,"ver;hor",0,"long",10
"ver","month",21,"hor;ver",0,"long",10
"ver","second",1,"hor;ver",0,"short",10
"ver","minute",5,"hor;ver",0,"short",10
"ver","minute",6,"ver;hor",0,"short",11
"hor","second",3,"ver;hor",1,"short",11
"ver","year",25,"hor;ver",0,"long",11
"ver","month",22,"hor;ver",0,"long",11
"hor","year",28,"ver;hor",1,"long",11
"ver","second",2,"hor;ver",0,"short",11
"ver","month",21,"ver;hor",0,"long",11
"ver","week",19,"hor;ver",0,"long",11
"ver","week",18,"ver;hor",0,"long",11
"ver","century",31,"hor;ver",0,"long",11
"hor","hour",11,"ver;hor",1,"short",11
"hor","day",16,"ver;hor",1,"short",11
"ver","century",30,"ver;hor",0,"long",11
"ver","hour",10,"ver;hor",0,"short",11
"hor","year",27,"hor;ver",1,"long",11
"hor","week",20,"hor;ver",1,"long",11
"hor","minute",8,"ver;hor",1,"short",11
"hor","hour",12,"hor;ver",1,"short",11
"ver","week",17,"ver;hor",0,"long",11
"ver","minute",5,"hor;ver",0,"short",11
"hor","day",13,"ver;hor",1,"short",11
"hor","minute",7,"ver;hor",1,"short",11
"ver","century",29,"ver;hor",0,"long",11
"ver","century",32,"hor;ver",0,"long",11
"hor","day",14,"hor;ver",1,"short",11
"hor","day",15,"hor;ver",1,"short",11
"hor","hour",9,"ver;hor",1,"short",11
"ver","year",26,"hor;ver",0,"long",11
"ver","month",23,"hor;ver",0,"long",11
"ver","second",1,"hor;ver",0,"short",11
"ver","month",24,"hor;ver",0,"long",11
"ver","second",4,"hor;ver",0,"short",11
