"Value","space","time","itemNo","RT","sid"
"f","ver","second",3,6296,6
"f","ver","second",4,3411,6
"f","hor","week",18,2222,6
"f","hor","year",26,3450,6
"j","ver","century",31,7337,6
"j","ver","year",28,5537,6
"f","ver","century",32,2174,6
"j","ver","minute",8,2597,6
"f","hor","day",13,1944,6
"j","hor","minute",6,4753,7
"f","ver","month",23,2657,7
"f","hor","month",22,1979,7
"j","hor","century",29,10648,7
"f","hor","day",13,4742,7
"f","ver","day",15,1871,7
"j","hor","minute",5,3924,7
"f","hor","year",26,5938,7
"f","ver","second",3,4089,7
"j","ver","day",16,12003,7
"j","hor","month",21,4878,7
"j","hor","day",14,5399,7
"j","ver","minute",8,13139,7
"j","hor","year",25,8028,7
"f","hor","week",17,3658,7
"f","hor","century",30,5059,7
"j","ver","year",28,3287,7
"j","ver","minute",7,3504,7
"j","hor","hour",10,7013,7
"f","ver","month",24,2820,7
"j","ver","century",31,4646,7
"j","ver","hour",12,2767,7
"f","ver","week",20,9033,7
"f","hor","second",1,4640,7
"f","ver","year",27,3435,7
"j","ver","second",4,3900,7
"f","hor","week",18,3431,7
"f","hor","second",2,3769,7
"f","ver","hour",11,4103,7
"f","ver","week",19,2379,7
"j","hor","hour",9,3597,7
"j","ver","century",32,5743,7
"j","ver","hour",12,11757,8
"j","ver","minute",7,2775,8
"j","hor","hour",9,5952,8
"f","hor","century",30,3314,8
"f","ver","century",31,5965,8
"f","hor","week",18,4386,8
"f","hor","month",22,3027,8
"j","ver","year",28,3585,8
"f","hor","second",1,4297,8
"j","ver","second",3,5794,8
"f","ver","week",20,2288,8
"f","hor","day",13,21505,8
"f","hor","month",21,29773,8
"f","ver","day",15,137,8
"f","ver","week",19,215,8
"j","ver","minute",8,132,8
"j","ver","century",32,157,8
"j","ver","year",27,157,8
"f","hor","second",2,155,8
"j","hor","year",26,103,8
"f","ver","second",4,1228,8
"f","ver","month",23,144,8
"f","hor","minute",5,1093,8
"j","ver","month",24,155,8
"j","hor","hour",10,145,8
"f","ver","day",16,191,8
"f","hor","day",14,223,8
"j","hor","week",17,94,8
"j","hor","year",25,191,8
"f","hor","century",29,139,8
"j","ver","hour",11,3728,8
"f","hor","minute",6,1347,8
"f","hor","second",1,3795,9
"j","ver","minute",7,3726,9
"f","hor","century",30,2435,9
"f","ver","minute",8,3708,9
"f","ver","day",15,3080,9
"j","hor","day",14,5041,9
"f","ver","hour",11,2559,9
"j","hor","year",25,7328,9
"f","ver","week",20,3651,9
"f","hor","week",17,2810,9
"j","hor","year",26,3561,9
"f","hor","week",18,2624,9
"f","ver","hour",12,5523,9
"j","ver","century",32,2591,9
"j","hor","minute",6,3484,9
"f","ver","second",3,3574,9
"f","hor","day",13,1734,9
"f","ver","month",23,2892,9
"f","ver","century",31,5035,9
"f","hor","month",21,3260,9
"f","hor","second",2,7189,9
"f","hor","hour",9,3382,9
"f","ver","year",28,2595,9
"j","ver","second",4,3704,9
"f","hor","hour",10,3002,9
"f","hor","month",22,2076,9
"f","hor","century",29,2394,9
"j","hor","minute",5,2989,9
"f","ver","week",19,5821,9
"f","ver","day",16,2349,9
"f","ver","month",24,2862,9
"f","ver","year",27,2327,9
"j","ver","month",24,15993,10
"f","hor","minute",6,42557,10
"j","hor","century",30,8962,10
"f","hor","month",21,31,10
"f","ver","week",20,2438,10
"f","hor","week",18,6505,10
"f","hor","year",26,6232,10
"f","hor","hour",10,15655,10
"j","hor","minute",5,5619,10
"j","hor","day",13,2396,10
"f","hor","second",2,2686,10
"f","hor","week",17,6278,10
"f","ver","year",27,3189,10
"f","hor","hour",9,2200,10
"f","ver","second",3,3645,10
"f","ver","hour",12,3110,10
"f","ver","week",19,3577,10
"f","ver","day",15,2373,10
"f","ver","minute",7,2779,10
"f","hor","century",29,2286,10
"f","ver","century",32,8345,10
"f","ver","year",28,4764,10
"f","ver","century",31,3231,10
"j","hor","month",22,4086,10
"f","ver","hour",11,4043,10
"f","hor","second",1,2753,10
"f","ver","month",23,3383,10
"f","ver","second",4,6653,10
"j","ver","day",16,4607,10
"j","hor","day",14,3312,10
"f","hor","year",25,3981,10
"f","hor","hour",10,6944,11
"f","ver","year",28,4841,11
"f","hor","century",30,1956,11
"f","hor","year",26,4594,11
"f","hor","month",22,1991,11
"f","ver","second",3,2604,11
"f","hor","hour",9,2040,11
"f","hor","second",1,2984,11
"f","hor","day",13,1697,11
"f","hor","week",18,4064,11
"f","hor","week",17,2519,11
"f","ver","hour",11,3164,11
"j","hor","day",14,8316,11
"f","ver","hour",12,3693,11
"f","ver","month",24,4027,11
"f","ver","week",19,1780,11
"j","ver","century",31,2778,11
"f","hor","year",25,3640,11
"j","hor","month",21,3733,11
"f","hor","second",2,5806,11
"j","ver","century",32,1827,11
"f","ver","second",4,2640,11
"j","hor","minute",5,2097,11
"f","ver","day",15,1681,11
"f","ver","minute",8,3557,11
"f","ver","month",23,1713,11
"f","ver","week",20,2207,11
"f","ver","year",27,2577,11
"j","hor","minute",6,3726,11
"f","hor","century",29,1783,11
"j","ver","day",16,3064,11
"f","ver","minute",7,2777,11
"f","hor","month",22,2875,12
"f","ver","day",15,4428,12
"f","hor","week",18,2850,12
"f","hor","hour",9,4195,12
"f","ver","century",31,2570,12
"f","hor","year",25,2853,12
"f","hor","century",30,2257,12
"f","ver","week",19,2398,12
"f","ver","hour",12,4272,12
"f","hor","second",2,3750,12
"f","ver","day",16,4304,12
"f","ver","month",24,5230,12
"f","ver","month",23,2703,12
"f","hor","year",26,4176,12
"f","ver","year",27,3063,12
"f","ver","week",20,3693,12
"f","ver","century",32,2177,12
"j","ver","second",4,4054,12
"j","hor","day",14,2865,12
"f","hor","day",13,2736,12
"f","ver","minute",8,2523,12
"f","ver","minute",7,2930,12
"j","hor","minute",6,3538,12
"f","ver","second",3,5678,12
"f","hor","hour",10,2829,12
"j","hor","minute",5,2944,12
"f","hor","second",1,1624,12
"f","hor","century",29,1852,12
"f","hor","week",17,1731,12
"f","hor","month",21,2542,12
"f","ver","hour",11,4476,12
"j","ver","year",28,4569,12
"f","hor","week",18,4139,13
"f","hor","hour",9,5074,13
"j","hor","century",29,3472,13
"f","ver","hour",12,3662,13
"f","ver","second",3,7746,13
"f","ver","second",4,6768,13
"f","hor","week",17,2625,13
"f","hor","second",2,3230,13
"f","ver","day",15,3486,13
"f","hor","month",21,8637,13
"j","ver","year",28,5160,13
"j","ver","century",32,8524,13
"f","ver","year",27,2893,13
"j","hor","minute",6,4397,13
"f","ver","month",23,4066,13
"f","ver","week",19,1984,13
"f","hor","century",30,3137,13
"f","hor","hour",10,5324,13
"f","ver","month",24,2150,13
"j","hor","minute",5,5047,13
"j","ver","hour",11,4259,13
"f","hor","second",1,4090,13
"f","hor","day",13,3054,13
"f","ver","week",20,4037,13
"f","ver","minute",8,3109,13
"j","hor","day",14,9211,13
"f","ver","minute",7,4946,13
"f","hor","year",26,2462,13
"j","ver","century",31,3040,13
"j","ver","day",16,3237,13
"f","hor","year",25,2758,13
"f","hor","month",22,3600,13
"f","hor","month",22,2781,14
"f","ver","year",27,4003,14
"f","hor","hour",9,2050,14
"f","hor","century",30,2086,14
"f","ver","second",4,2274,14
"j","hor","day",14,1498,14
"f","ver","century",31,1790,14
"f","ver","minute",8,1995,14
"f","ver","second",3,2927,14
"j","hor","minute",6,6196,14
"f","ver","day",15,2020,14
"f","ver","minute",7,2893,14
"f","hor","year",25,5157,14
"f","hor","day",13,1565,14
"f","ver","hour",12,6070,14
"f","hor","century",29,2271,14
"f","hor","week",18,2095,14
"f","ver","year",28,5046,14
"j","ver","month",24,1948,14
"j","hor","month",21,8308,14
"f","hor","hour",10,4523,14
"f","ver","week",20,2318,14
"j","hor","minute",5,2622,14
"f","hor","year",26,3292,14
"j","ver","week",19,2449,14
"j","ver","hour",11,3432,14
"j","ver","day",16,7188,14
"f","hor","week",17,2485,14
"f","hor","second",1,2072,14
"j","ver","century",32,6509,14
"f","hor","second",2,2472,14
"j","ver","month",23,2278,14
"j","hor","day",14,4848,15
"f","ver","month",23,4736,15
